"序号","煤名","状态","煤种","S硫","A灰","V挥发","G粘结","Y胶质","岩相","CSR","M水分","FOB","FRT","CIF","S可信度","A可信度","V可信度","G可信度","Y可信度","岩相可信度","CSR可信度","M可信度","FOB可信度","FRT可信度","备注"
1,"临北","verified","主焦煤",2.0,6.0,22,93,17,0.01,70,11,1425,25,1450,"high","high","high","high","medium","low","high","medium","high","high","用户主力煤. 最新出厂价 1425."
2,"古交浮精","verified","主焦煤 (浮选精煤)",1.1,13.5,21,80,10,0.01,50,23,970,35,1005,"high","high","high","high","medium","low","high","high","high","high","古交的浮选精煤. 区别于原 '古交' (煤泥, 已 archived). M=23 高水分."
3,"豹子沟","verified","主焦煤",3.8,11.0,24,92,19,0.01,64,11,1280,50,1330,"high","high","high","high","high","low","low","medium","high","high","用户主力煤. CSR 是估值, Y 已确认."
4,"大佛寺","verified","主焦煤",3.0,8.5,18,75,12,0.01,58,11,1150,15,1165,"high","high","high","high","medium","low","low","medium","high","high","用户主力煤. CSR/Y 是估值."
5,"古交-原","archived","煤泥",1.1,13.5,21,80,"","","","","","","","","","","","","","","","","","煤泥, 不可直接用. 被 '古交浮精' 取代."
6,"正文","active","主焦煤",2.0,10.5,20,84,"","","","","","","","","","","","","","","","","","暂排除. 早期 2.4/10/21/80."
7,"雪坪","active","主焦煤",4.2,10,25,95,"","","","","","","","","","","","","","","","","","暂排除."
8,"兴无","active","主焦煤",2.2,7.5,18,75,"","","","","","","","","","","","","","","","","","暂排除."
9,"铁新","active","主焦煤",3.2,6.5,21,92,"","","","","","","","","","","","","","","","","",""
10,"安益","active","主焦煤",3.4,6.8,18,75,"","","","","","","","","","","","","","","","","",""
11,"筛精","active","主焦煤",3.9,9.5,25,100,"","","","","","","","","","","","","","","","","",""
12,"孟子峪","active","主焦煤",2.0,9.5,18,75,"","","","","","","","","","","","","","","","","",""
13,"神州-A","active","主焦煤",1.7,12,18,62,"","","","","","","","","","","","","","","","","","第一批次"
14,"神州-B","active","主焦煤",2.1,11.5,19,53,"","","","","","","","","","","","","","","","","","第二批次"
15,"峁底","active","主焦煤",1.0,9.0,35,60,"","","","","","","","","","","","","","","","","",""
16,"安泰","active","主焦煤",1.0,11,23,90,"","","","","","","","","","","","","","","","","",""
17,"东江","active","主焦煤",0.9,10.5,23,85,"","","","","","","","","","","","","","","","","",""
18,"斜沟","active","主焦煤",1.0,10.5,36,72,"","","","","","","","","","","","","","","","","",""
19,"肖家洼","active","主焦煤",0.6,9.0,35,68,"","","","","","","","","","","","","","","","","",""
20,"华烨","active","主焦煤",0.7,11,28,90,"","","","","","","","","","","","","","","","","",""
21,"新工","active","主焦煤",0.6,16,26,80,"","","","","","","","","","","","","","","","","",""
22,"裕民","active","主焦煤",1.6,10.5,28,95,"","","","","","","","","","","","","","","","","",""
23,"焉头","active","主焦煤",2.0,10.5,25,90,"","","","","","","","","","","","","","","","","",""
24,"胜利","active","主焦煤",0.5,13.5,28,90,"","","","","","","","","","","","","","","","","",""
25,"庞庞塔","active","气煤",1.1,15,32,35,"","","","","","","","","","","","","","","","","",""
26,"鑫瑞","active","主焦煤",0.8,15,26,88,"","","","","","","","","","","","","","","","","",""
27,"兑镇","active","主焦煤",2.8,10.5,24,85,"","","","","","","","","","","","","","","","","",""
28,"万峰","active","主焦煤",0.5,12.5,25,92,"","","","","","","","","","","","","","","","","",""
29,"金达","active","主焦煤",1.8,12,31,98,"","","","","","","","","","","","","","","","","",""
30,"正旺","active","主焦煤",2.5,10.4,21,84,"","","","","","","","","","","","","","","","","",""
31,"正令","active","主焦煤",0.9,10.5,27,96,"","","","","","","","","","","","","","","","","",""
